Ref_produit,Categorie,Description,Marque
KY573AA,Laptops,HP Voodoo Envy133 NV4010NA Notebook PC,HP
PHA00008,Licences et mises à jour de logiciel,HP Pharos UP Standard (251-500) IMFP Device License,HP
PHA00032,Logiciels utilitaires pour PC,HP Pharos UP Higher Ed Site (FTE 20k-30k) License. Type: Impression,HP
PHA00030,Logiciels utilitaires pour PC,HP Pharos UP Higher Ed Site (FTE 10k-15k) License. Type: Impression,HP
TRO00580221,Imprimantes laser,HP TROY 3005TN MICR Secure 2T/2L/110V Printer,HP
TRO81197001,Cartouches de toner,HP TROY 1320 MICR High-yield APACS Toner Cartridge,HP
TRO00581221,Imprimantes laser,HP TROY 3005TN MICR Secure EX 2T/2L/110V Printer,HP
T9576AA,Logiciels de développement,HP AMP 5-Sensor Suite includes 2 WebInspect User SW License. Type: Logiciel de développement,HP
BB186AA,Licences et mises à jour de logiciel,HP Business Process Insight 1 Process SW License,HP
T9529AAE,Logiciels de développement,HP EUM with RUM for TCP/IP 100 Mbps at 1-500 Mbps Tier SW E-License. Type: Logiciel de développement,HP
T8367AA,Logiciels de développement,HP SiteScope Monitors 1-50 Points 1 Year Term SW License. Type: Logiciel de développement,HP
T9200AA,Logiciels de développement,HP BAC Diagnostics for SOA 200+ CPU SW License. Type: Logiciel de développement,HP
T9476AA,Logiciels de développement,HP SaaS DDM for BAC Found (AE) 1001+ CPU 1 Year Bundle Support SW License. Type: Logiciel de développement,HP
T5683AAE,Non classé,HP BAC and EUM with Business Process Monitor 51-200 Targets SW E-License,HP
CQ202AAE,Licences et mises à jour de logiciel,HP SAP Presort Pallet Production SW E-LTU,HP
CQ578AAE,Licences et mises à jour de logiciel,HP Output Envoy SW E-LTU,HP
AY570AA,PC/postes de travail,HP Pavilion a4316f Desktop PC,HP
T3347BAE,Licences et mises à jour de logiciel,HP CAE Application Usage Manager PC SW E-License,HP
T3500AAE,Licences et mises à jour de logiciel,HP CM Extension for Windows Installer 1000 PC SW E-License,HP
TRO00572101,Imprimantes laser,HP TROY 3005N MICR 1T/0L/110V Printer,HP
TA227AA,Logiciels de développement,HP BAC Diagnostics for Composite Application 201+ CPUs SW License. Type: Logiciel de développement,HP
UT832E,Extensions de garantie et support,HP MKRepl ScnAxis Dsnjt L25500 42-in SVC,HP
DP014A,Extensions de garantie et support,HP Recovery CD Design,HP
UN303A,Frais d'aide et maintenance,HP 6-month Online Backup Upline Service,HP
NV177UA,Laptops,HP TouchSmart tx2-1224ca Notebook PC,HP
VV939AV,Laptops,HP Mini 5102 Base Model,HP
AZ512A,Composants de commutation,HP DDN Field Replacement Unit 60-slot Enclosure Input Output Module,HP
WJ008PA,Laptops,HP Pavilion dm3-1113tx Entertainment Notebook PC,HP
J9476AZ,Composants de commutation,HP ProCurve 8200zl Switch Fan Tray,HP
DUMMTT4410TPRE,Laptops,HP 4410t Mobile Thin Client,HP
J9475AZ,Commutateurs réseaux,HP ProCurve 8206zl Switch Base System,HP
T3497AAE,Licences et mises à jour de logiciel,HP Settings Migration Manager 10 Pack SW E-License,HP
T3322BA,Licences et mises à jour de logiciel,HP Application Manager v4 Windows Desktop Radia SW License,HP
T3348BA,Licences et mises à jour de logiciel,HP CAE Application Usage Manager Server SW License,HP
TRO81214001,Cartouches de toner,HP TROY 4250/4350 MICR Standard-yield APACS Toner Cartridge,HP
TRO81081001,Cartouches de toner,HP TROY 9000/9040/9050 MICR Secure Toner Cartridge,HP
T3408BAE,Licences et mises à jour de logiciel,HP CAE Extension for Windows Installer Server SW E-License,HP
TRO81135001,Cartouches de toner,HP TROY 4250/4350 MICR Secure Toner Cartridge,HP
TRO81202001,Cartouches de toner,HP TROY 4250/4350 MICR High-yield APACS Toner Cartridge,HP
CJ876AAE,Licences et mises à jour de logiciel,HP Dialogue Module for HTML Output Workstation Engine Production SW E-LTU,HP
CJ868AAE,Licences et mises à jour de logiciel,HP Dialogue Module for AFP Output Workstation Engine Production SW E-LTU,HP
CQ568AAE,Licences et mises à jour de logiciel,HP Output Manager for Oracle Applications Hot Backup SW E-LTU,HP
KY583AA,Laptops,HP Voodoo Envy133 NV4070NA Notebook PC,HP
TROCU00592,Imprimantes laser,HP TROY Credit Union MICR Secure 3005N 1T/0L/110V Printer,HP
PHA00027,Logiciels utilitaires pour PC,HP Pharos UP Higher Ed Site (FTE 4k-5k) License. Type: Impression,HP
PHA00039,Logiciels utilitaires pour PC,HP Pharos UP Off The Glass Site (FTE 3001-4k) License. Type: Impression,HP
TRO81212001,Cartouches de toner,HP TROY 2015 MICR Secure Standard-yield Toner Cartridge,HP
TRO81133001,Cartouches de toner,HP TROY 2420/2430 MICR Secure Toner Cartridge,HP
T9600AA,Logiciels de développement,HP WebInspect for 1 Named User 1 Year Term SW License. Type: Logiciel de développement,HP
T9586AA,Logiciels de développement,HP AMP Sensor Non-Production SW License. Type: Logiciel de développement,HP
T9578AA,Logiciels de développement,HP AMP 25-Sensor Suite includes 10 WebInspect User SW License. Type: Logiciel de développement,HP
T9583AA,Logiciels de développement,HP WebInspect Single Scan Target SW License. Type: Logiciel de développement,HP
TA386AA,Logiciels de développement,HP BAC Service Level Management for SOA 51+ CPUs SW License. Type: Logiciel de développement,HP
BB189AAE,Licences et mises à jour de logiciel,HP Business Process Insight Accelerator Software for SAP SW E-License,HP
T9568AAE,Logiciels de développement,HP BAC SLM for TV Distributed Sensor per CPU SW E-License. Type: Logiciel de développement,HP
T8391AA,Logiciels de développement,HP SOA Systinet Visibility Upgr to Standard Edition Concurrent User SW License. Type: Logiciel de développement,HP
T3943DAE,Logiciel de mise en réseau,HP Select Identity v4.2 English SW E-Media. Type: Gestion de réseau,HP
T3421DAE,Logiciel de mise en réseau,HP Configuration Management v4 PC SW E-Media. Type: Gestion de réseau,HP
CQ580AAE,Licences et mises à jour de logiciel,HP Output Explorer Development SW E-LTU,HP
T9532AAE,Logiciels de développement,HP EUM with RUM for TCP/IP 100 Mbps at 5+ Gbps Tier SW E-License. Type: Logiciel de développement,HP
NP215AA,PC/postes de travail,"HP Pavilion p6124c. Fréquence du processeur: 2,5 GHz, Famille de processeur: Intel® Pentium®, Modèle de processeur: E5200. Mémoire interne: 8 Go, Type de mémoire interne: DDR2-SDRAM, Fréquence de la mémoire: 800 MHz. Capacité totale de stockage: 640 Go, Supports de stockage: HDD, Lecteur optique: DVD Super Multi DL. Modèle d'adaptateur graphique inclus: Intel® GMA 3100. Système d'exploitation installé: Windows Vista Home Premium, Architecture du système d'exploitation: 64-bit. Alimentation d'énergie: 300 W. Type de châssis: Mini Tower. Type de produit: PC",HP
