Ref_produit,Categorie,Description,Marque
CX605-029XEU,Laptops,"MSI Megabook CX605-029XEU. Famille de processeur: Intel® Pentium® double cœur, Modèle de processeur: T4500, Fréquence du processeur: 2,3 GHz. Taille de l'écran: 39,6 cm (15.6""), Résolution de l'écran: 1366 x 768 pixels. Mémoire interne: 4 Go, Type de mémoire interne: DDR3-SDRAM. Capacité totale de stockage: 320 Go, Lecteur optique: DVD Super Multi. Modèle d'adaptateur graphique distinct: AMD Mobility Radeon HD 5470. Système d'exploitation installé: DOS gratuit. Poids: 2,48 kg",MSI
CX605-030XCZ,Laptops,"MSI Megabook CX605-030XCZ. Famille de processeur: Intel® Pentium® double cœur, Modèle de processeur: T4500, Fréquence du processeur: 2,3 GHz. Taille de l'écran: 39,6 cm (15.6""), Résolution de l'écran: 1366 x 768 pixels. Mémoire interne: 4 Go, Type de mémoire interne: DDR3-SDRAM. Capacité totale de stockage: 320 Go, Lecteur optique: DVD Super Multi. Modèle d'adaptateur graphique distinct: AMD Mobility Radeon HD 5470. Système d'exploitation installé: DOS gratuit. Poids: 2,48 kg",MSI
CX605-031XSK,Laptops,"MSI Megabook CX605-031XSK. Famille de processeur: Intel® Pentium® double cœur, Modèle de processeur: T4500, Fréquence du processeur: 2,3 GHz. Taille de l'écran: 39,6 cm (15.6""), Résolution de l'écran: 1366 x 768 pixels. Mémoire interne: 4 Go, Type de mémoire interne: DDR3-SDRAM. Capacité totale de stockage: 320 Go, Lecteur optique: DVD Super Multi. Modèle d'adaptateur graphique distinct: AMD Mobility Radeon HD 5470. Système d'exploitation installé: DOS gratuit. Poids: 2,48 kg",MSI
CX605-032XHU,Laptops,"MSI Megabook CX605-032XHU. Famille de processeur: Intel® Pentium® double cœur, Modèle de processeur: T4500, Fréquence du processeur: 2,3 GHz. Taille de l'écran: 39,6 cm (15.6""), Résolution de l'écran: 1366 x 768 pixels. Mémoire interne: 4 Go, Type de mémoire interne: DDR3-SDRAM. Capacité totale de stockage: 320 Go, Lecteur optique: DVD Super Multi. Modèle d'adaptateur graphique distinct: AMD Mobility Radeon HD 5470. Système d'exploitation installé: DOS gratuit. Poids: 2,48 kg",MSI
AFACO-12000-GBA01,Systèmes de refroidissement d’ordinateur,"ARCTIC F12. Type: Ventilateur, Diamètre du ventilateur: 12 cm, Vitesse de rotation (min): 650 tr/min, Vitesse de rotation (max): 1350 tr/min, Niveau de son (vitesse rapide): 24,5 dB, Niveau de bruit: 0,3 sone, Courant d'air maximum: 53 cfm, Flux d'air: 90,1 m³/h, Type de roulement: Palier à dynamique des fluides (FDB). Tension: 12 V. Largeur: 120 mm, Profondeur: 25 mm, Hauteur: 120 mm. Couleur du produit: Noir, Blanc",ARCTIC
AFACO-08000-GBA01,Systèmes de refroidissement d’ordinateur,"ARCTIC F8. Type: Ventilateur, Diamètre du ventilateur: 8 cm, Nombre de vitesses: 3, Vitesse de rotation (min): 850 tr/min, Vitesse de rotation (max): 2000 tr/min, Niveau de bruit: 0,3 sone, Courant d'air maximum: 31 cfm, Flux d'air: 52,7 m³/h, Type de roulement: Palier à dynamique des fluides (FDB). Tension: 12 V. Largeur: 80 mm, Profondeur: 25 mm, Hauteur: 80 mm. Couleur du produit: Noir, Blanc",ARCTIC
AFACO-080P0-GBA01,Systèmes de refroidissement d’ordinateur,"ARCTIC F8 PWM PST. Type: Ventilateur, Diamètre du ventilateur: 8 cm, Vitesse de rotation (min): 500 tr/min, Vitesse de rotation (max): 2000 tr/min, Niveau de son (vitesse rapide): 24,5 dB, Niveau de bruit: 0,3 sone, Courant d'air maximum: 31 cfm, Flux d'air: 52,7 m³/h, Type de roulement: Palier à fluide. Tension: 12 V. Largeur: 80 mm, Profondeur: 25 mm, Hauteur: 80 mm. Couleur du produit: Noir, Blanc",ARCTIC
NP-R730-JS05NL,Laptops,"Samsung R R730-JS05. Famille de processeur: Intel® Pentium® double cœur, Modèle de processeur: T4400, Fréquence du processeur: 2,2 GHz. Taille de l'écran: 43,9 cm (17.3""), Type HD: HD+, Résolution de l'écran: 1600 x 900 pixels. Mémoire interne: 4 Go, Type de mémoire interne: DDR3-SDRAM. Capacité totale de stockage: 500 Go, Lecteur optique: DVD Super Multi DL. Modèle d'adaptateur graphique distinct: NVIDIA® GeForce® 310M. Système d'exploitation installé: Windows 7 Home Premium. Couleur du produit: Rouge, Argent. Poids: 2,84 kg",Samsung
81674,Adaptateurs graphiques USB,C2G 81674. Couleur du produit: Noir. Poids: 259 g,C2G
81282,Câbles vidéo et adaptateurs,"C2G 81282. Longueur de câble: 0,23 m, Connecteur 1: Mini DisplayPort, Connecteur 2: VGA (D-Sub). Poids: 48 g",C2G
81280,Câbles vidéo et adaptateurs,"C2G 81280. Longueur de câble: 0,23 m, Connecteur 1: Mini DisplayPort, Connecteur 2: HDMI. Poids: 36 g",C2G
81281,Câbles vidéo et adaptateurs,"C2G 81281. Longueur de câble: 0,21 m, Connecteur 1: Mini DisplayPort, Connecteur 2: DVI-D. Poids: 59 g",C2G
81671,Changeurs de genre de câble,"C2G 1.8m USB/DB25 Adapter. Connecteur 1: DB25, Connecteur 2: USB 2.0, Longueur de câble: 1,8 m. Couleur du produit: Blanc",C2G
81673,Câbles FireWire,"C2G 5m FireWire400 Cable. Couleur du produit: Noir, Genre du connecteur: Mâle/Femelle. Longueur de câble: 5 m",C2G
128583,Hubs & concentrateurs,"Equip USB 2.0 Hub. Taux de transfert de données: 480 Mbit/s, Couleur du produit: Argent, Longueur de câble: 0,5 m. Systèmes d'exploitation compatibles: Windows 98/ME/2000/XP/Vista/7, Mac OS V9.2. Poids: 49 g. Interface: USB, Dimensions (LxPxH): 40 x 53 x 30 mm",Equip
81672,Cartes réseau,"C2G Fast Ethernet Adapter. Technologie de connectivité: Avec fil, Interface de l'hôte: USB. Débit de transfert des données maximum: 100 Mbit/s. Couleur du produit: Noir",C2G
VFY:R3006SX090BE,Serveurs,"Fujitsu PRIMERGY RX300 S6. Famille de processeur: Intel® Xeon® séquence 5000, Fréquence du processeur: 2,4 GHz, Modèle de processeur: E5620. Mémoire interne: 4 Go, Type de mémoire interne: DDR3-SDRAM. Taille du disque dur: 2.5"". Ethernet/LAN. Lecteur optique: DVD-RW. Alimentation d'énergie: 800 W. Type de châssis: Rack (2 U)",Fujitsu
EX-S1855SB,Lentilles et filtres d'appareil photo,"Samsung S1855SB. Type d'objectif: Objectif zoom standard, Distance minimale de mise au point: 0,28 m, Monture d'objectif d'interface: Samsung NX. Diamètre: 6,3 cm, Taille de filtre: 5,8 cm, Longueur du produit: 65,1 mm. Profondeur: 65,1 mm",Samsung
CCR-210.AGEUWA,Coques de protection pour téléphones portables,LG Silicon Case. Couleur du produit: Blanc,LG
NUA26GE,Laptops,"Lenovo ThinkPad T410. Famille de processeur: Intel® Core™ i5, Modèle de processeur: i5-520M, Fréquence du processeur: 2,4 GHz. Taille de l'écran: 35,8 cm (14.1""), Résolution de l'écran: 1440 x 900 pixels. Mémoire interne: 2 Go, Type de mémoire interne: DDR3-SDRAM. Capacité totale de stockage: 80 Go, Lecteur optique: DVD±RW. Modèle d'adaptateur graphique inclus: Intel® HD Graphics. Système d'exploitation installé: Windows 7 Professional. Poids: 2,27 kg",Lenovo
593-10962,Cartouches de toner,"DELL 3J11D. Rendement par page de toner noir: 1500 pages, Couleurs d'impression: Noir, Quantité: 1 pièce(s)",DELL
CCL-300.AGEUBK,Coques de protection pour téléphones portables,"LG CCL-300. Type d'étui: Étui, Compatibilité de marque: LG, Compatibilité: LG GT540, Couleur du produit: Noir",LG
G85-23100DEADSL,Claviers,"CHERRY eVolution STREAM XT. Technologie de connectivité: Avec fil, Interface de l'appareil: USB + PS/2, Disposition des touches du clavier: QWERTY, Nombre de touches du clavier: 111. Longueur de câble: 1,8 m. Couleur du produit: Noir",CHERRY
G85-23100CHADSL,Claviers,"CHERRY eVolution STREAM XT. Technologie de connectivité: Avec fil, Interface de l'appareil: USB + PS/2, Disposition des touches du clavier: QWERTY, Nombre de touches du clavier: 111. Longueur de câble: 1,8 m. Couleur du produit: Noir",CHERRY
HK162ABB,Écrans plats de PC,"Hannspree Hanns.G HK162ABB. Taille de l'écran: 39,6 cm (15.6""), Résolution de l'écran: 1366 x 768 pixels, Temps de réponse: 8 ms, Format d'image: 16:9, Angle de vision horizontal: 90°, Angle de vision vertical: 65°. Couleur du produit: Noir",Hannspree
HZ201DPB,Écrans plats de PC,"Hannspree Hanns.G HZ201DPB. Taille de l'écran: 50,8 cm (20""), Résolution de l'écran: 1600 x 900 pixels, Temps de réponse: 5 ms, Format d'image: 16:9, Angle de vision horizontal: 160°, Angle de vision vertical: 160°. Couleur du produit: Noir",Hannspree
KIT33100126427,Cartes mères,"ASUS Maximus III GENE. Fabricant de processeur: Intel, Socket de processeur (réceptable de processeur): LGA 1156 (Socket H), Processeurs compatibles: Intel® Core™ i5, Intel® Core™ i7. Mémoire interne maximale: 16 Go, Canaux de mémoire: Double canal, Prise en charge de la mémoire vitesse d'horloge: 1066,1333,1600,2000,2133 MHz. Interfaces de lecteur de stockage prises en charge: SATA II, Niveaux RAID: 0, 1, 5, 10. Type d'interface Ethernet: Fast Ethernet, Gigabit Ethernet, Caractéristiques réseau: Gigabit Ethernet. composant pour: PC, famille de composant de produits: Intel, Carte mère chipset: Intel® P55",ASUS
573808-001,Disques durs,"HP 250GB SATA 5400RPM 1.8"". Taille du disque dur: 1.8"", Capacité disque dur: 250 Go, Vitesse de rotation du disque dur: 5400 tr/min",HP
NSL7LMZ/KIT,Laptops,"Lenovo ThinkPad SL510. Famille de processeur: Intel® Core™2 Duo, Modèle de processeur: T6570, Fréquence du processeur: 2,1 GHz. Taille de l'écran: 39,6 cm (15.6""), Résolution de l'écran: 1366 x 768 pixels. Mémoire interne: 2 Go, Type de mémoire interne: DDR3-SDRAM. Capacité totale de stockage: 250 Go. Modèle d'adaptateur graphique distinct: Intel® GMA 4500MHD. Système d'exploitation installé: Windows 7 Professional. Poids: 2,56 kg",Lenovo
90-C1CMRK-J0UAY0BZ,Cartes graphiques,"ASUS ENGTS250/DI/512MD3/WW. Processeur graphique: GeForce GTS 250, Fréquence du processeur: 675 MHz. Type de mémoire de l'adaptateur graphique: GDDR3, Mémoire Bus: 256 bit, Fréquence de la mémoire: 2000 MHz. Résolution maximale: 2560 x 1600 pixels. Version DirectX: 10.0. Type d'interface: PCI Express 2.0. Type de refroidissement: Actif",ASUS
KK642EA,PC/postes de travail,"HP Z400. Fréquence du processeur: 3,06 GHz, Famille de processeur: Intel® Xeon® séquence 3000, Modèle de processeur: W3550. Mémoire interne: 6 Go, Type de mémoire interne: DDR3-SDRAM, Fréquence de la mémoire: 1333 MHz. Lecteur de cartes mémoires intégré, Lecteur optique: DVD Super Multi. Système d'exploitation installé: Windows 7 Professional, Architecture du système d'exploitation: 64-bit. Alimentation d'énergie: 475 W. Type de châssis: Minitower. Type de produit: Station de travail. Poids: 13,5 kg",HP
565-10110,Cartes réseau,"DELL 565-10110. Interne. Technologie de connectivité: Avec fil, Interface: Ethernet",DELL
A1129776A,Lampes de projection,"Sony A1129776A. Type de lampe: UHP, Puissance de l'ampoule: 120 W, Durée de vie de la lampe: 2000 h, Compatibilité de marque: Sony, Compatibilité: KDF 46E2000, KDF 50E2000, KDF 50E2010, KDF 55E2000, KDF E42A10, KDF E42A11, KDF E42A11E, KDF...",Sony
UCACO-AP110-GBB01,Systèmes de refroidissement d’ordinateur,"ARCTIC Alpine 11 PRO Rev.2. Type: Refroidisseur, Diamètre du ventilateur: 9,2 cm, Vitesse de rotation (min): 500 tr/min, Vitesse de rotation (max): 2000 tr/min, Niveau de bruit: 0,4 sone, Courant d'air maximum: 36,7 cfm, Flux d'air: 62,2 m³/h, Type de roulement: Palier à fluide. Tension: 12 V. Largeur: 113 mm, Profondeur: 78 mm, Hauteur: 105 mm. Couleur du produit: Noir, Blanc",ARCTIC
FSP:GDCS60000BEPR3,Extensions de garantie et support,"Fujitsu FSP:GDCS60000BEPR3. Nombre d'années: 4 année(s), Horaire du service (heures et jours): 9x5, Type: Sur place",Fujitsu
3518-LTO,Dispositifs de stockage de secours,"Overland-Tandberg LTO-5 HH. Type de produit: Disque de stockage, Type de support: Cartouche à bande, Interface: Serial Attached SCSI 2. Capacité d'origine: 1,5 To, Capacité (avec compression): 3 To, Lecteur, dimension buffer: 256 Mo. Taux de transfert de données (compressées) soutenu: 280 Mo/s, Taux de transfert de données soutenu (native): 140 Mo/s. Consommation électrique typique: 20 W, Consommation d'énergie (mode veille): 6,9 W. Couleur du produit: Noir",Overland-Tandberg
3520-LTO,Dispositifs de stockage de secours,"Overland-Tandberg LTO-5 HH. Type de produit: Disque de stockage, Type de support: Cartouche à bande, Interface: Serial Attached SCSI 2. Capacité d'origine: 1,5 To, Capacité (avec compression): 3 To, Lecteur, dimension buffer: 256 Mo. Taux de transfert de données (compressées) soutenu: 280 Mo/s, Taux de transfert de données soutenu (native): 140 Mo/s. Consommation électrique typique: 13 W, Consommation d'énergie (mode veille): 6,9 W. Couleur du produit: Noir",Overland-Tandberg
433955,Support de stockage de secours,"Overland-Tandberg LTO Ultrium 5. Type de produit: Bande de données vierge, Capacité d'origine: 1,5 To, Capacité (avec compression): 3 To. Longueur de la bande: 846 m, Épaisseur de la bande: 6,4 µm, Largeur: 102 mm. Dimensions (LxPxH): 102 x 105,4 x 21,5 mm, Largeur de la bande: 1,27 cm, Taux de transfert de données (compressées) soutenu: 280 Mo/s",Overland-Tandberg
3519-LTO,Dispositifs de stockage de secours,"Overland-Tandberg LTO-5 HH. Type de produit: Disque de stockage, Type de support: Cartouche à bande, Interface: Serial Attached SCSI 2. Capacité d'origine: 1,5 To, Capacité (avec compression): 3 To, Lecteur, dimension buffer: 256 Mo. Taux de transfert de données (compressées) soutenu: 280 Mo/s, Taux de transfert de données soutenu (native): 140 Mo/s. Consommation électrique typique: 13 W, Consommation d'énergie (mode veille): 6,9 W. Couleur du produit: Noir",Overland-Tandberg
N6PATCH15GN,Câbles de réseau,"StarTech.com N6PATCH15GN. Longueur de câble: 4,57 m, Câble standard: Cat6, Blindage du câble: U/UTP (UTP), Connecteur 1: RJ-45, Connecteur 2: RJ-45, Contacts du connecteur de placage: Or, Taux de transfert de données: 1000 Mbit/s, Couleur du produit: Vert",StarTech.com
CN31-50,Sacoches d'ordinateurs portables,"Targus Classic 16"" Clamshell Case. Type d'étui: Malette, Taille maximale de l’écran: 40,6 cm (16""). Poids: 780 g",Targus
GB102-LILA,Téléphones portables,"LG GB102. Format: Barre. Capacité de la carte SIM: SIM unique. Taille de l'écran: 3,81 cm (1.5""), Résolution de l'écran: 128 x 128 pixels. Technologie batterie: Lithium-Ion (Li-Ion), Délai d'attente (2G): 400 h. Couleur du produit: Rose",LG
1238-3583,Téléphones portables,"Sony J20i Hazel. Format: Glissière. Résolution de l'écran: 240 x 320 pixels. Résolution de la caméra arrière (numerique): 5 MP. WAP, Wifi. Bluetooth. Délai d'attente (2G): 430 h. Poids: 120 g. Couleur du produit: Rose",Sony
1238-3584,Téléphones portables,"Sony J20i Hazel. Format: Glissière. Résolution de l'écran: 240 x 320 pixels. Résolution de la caméra arrière (numerique): 5 MP. WAP, Wifi. Bluetooth. Délai d'attente (2G): 430 h. Poids: 120 g",Sony
HA109A3#1N0,Extensions de garantie et support,HP 3y Support Plus MS ProLiant DL140 SVC,HP
SX58J3,Barebones PC/ poste de travail,"Shuttle SX58J3. Carte mère chipset: Intel® X58 Express, Socket de processeur (réceptable de processeur): Socket B (LGA 1366). Mémoire interne maximale: 16 Go. Nombre de port ethernet LAN (RJ-45): 2. Alimentation d'énergie: 500 W",Shuttle
VJD55MC,PC/postes de travail,"Lenovo ThinkStation E20. Fréquence du processeur: 2,66 GHz, Famille de processeur: Intel® Xeon® séquence 3000, Modèle de processeur: X3450. Mémoire interne: 4 Go, Type de mémoire interne: DDR3-SDRAM, Fréquence de la mémoire: 1333 MHz. Lecteur de cartes mémoires intégré. Système d'exploitation installé: Windows 7 Professional. Alimentation d'énergie: 280 W. Type de châssis: Tower. Type de produit: Station de travail. Poids: 11,2 kg. Couleur du produit: Noir",Lenovo
VJD54MC,PC/postes de travail,"Lenovo ThinkStation E20. Fréquence du processeur: 2,4 GHz, Famille de processeur: Intel® Xeon® séquence 3000, Modèle de processeur: X3430. Mémoire interne: 4 Go, Type de mémoire interne: DDR3-SDRAM, Fréquence de la mémoire: 1333 MHz. Lecteur de cartes mémoires intégré. Système d'exploitation installé: Windows 7 Professional. Alimentation d'énergie: 280 W. Type de châssis: Tower. Type de produit: Station de travail. Poids: 11,2 kg. Couleur du produit: Noir",Lenovo
VJD52MC,PC/postes de travail,"Lenovo ThinkStation E20. Fréquence du processeur: 2,93 GHz, Famille de processeur: Intel® Core™ i5. Mémoire interne: 2 Go, Type de mémoire interne: DDR3-SDRAM, Fréquence de la mémoire: 1333 MHz. Lecteur de cartes mémoires intégré. Système d'exploitation installé: Windows 7 Professional. Alimentation d'énergie: 280 W. Type de châssis: Tower. Type de produit: Station de travail. Poids: 11,2 kg. Couleur du produit: Noir",Lenovo
VJD53MC,PC/postes de travail,"Lenovo ThinkStation E20. Fréquence du processeur: 3,2 GHz, Famille de processeur: Intel® Core™ i5. Mémoire interne: 4 Go, Type de mémoire interne: DDR3-SDRAM, Fréquence de la mémoire: 1333 MHz. Lecteur de cartes mémoires intégré. Système d'exploitation installé: Windows 7 Professional. Alimentation d'énergie: 280 W. Type de châssis: Tower. Type de produit: Station de travail. Poids: 11,2 kg. Couleur du produit: Noir",Lenovo
SML7MMZ/KIT,PC/postes de travail,"Lenovo ThinkCentre A58. Fréquence du processeur: 2,93 GHz, Famille de processeur: Intel® Core™2 Duo, Modèle de processeur: E7500. Mémoire interne: 2 Go, Type de mémoire interne: DDR2-SDRAM, Fréquence de la mémoire: 800 MHz. Capacité totale de stockage: 320 Go, Lecteur optique: DVD±RW. Modèle d'adaptateur graphique distinct: Intel® GMA X4500. Système d'exploitation installé: Windows 7 Professional. Alimentation d'énergie: 280 W. Type de châssis: SFF. Type de produit: PC. Poids: 7,5 kg",Lenovo
SMK7QMZ/KIT,PC/postes de travail,"Lenovo ThinkCentre A58. Fréquence du processeur: 2,93 GHz, Famille de processeur: Intel® Core™2 Duo, Modèle de processeur: E7500. Mémoire interne: 2 Go, Type de mémoire interne: DDR2-SDRAM, Fréquence de la mémoire: 800 MHz. Capacité totale de stockage: 320 Go, Lecteur optique: DVD±RW. Modèle d'adaptateur graphique distinct: Intel® GMA X4500. Système d'exploitation installé: Windows 7 Professional. Alimentation d'énergie: 280 W. Type de châssis: Tower. Type de produit: PC. Poids: 11,2 kg",Lenovo
NT93FMZ/KIT,Laptops,"Lenovo ThinkPad T410. Famille de processeur: Intel® Core™ i7, Modèle de processeur: i7-620M, Fréquence du processeur: 2,66 GHz. Taille de l'écran: 35,8 cm (14.1""), Résolution de l'écran: 1440 x 900 pixels. Mémoire interne: 4 Go, Type de mémoire interne: DDR3-SDRAM. Capacité totale de stockage: 320 Go, Lecteur optique: DVD±RW. Modèle d'adaptateur graphique inclus: Intel® HD Graphics, Modèle d'adaptateur graphique distinct: NVIDIA Quadro HD 6310. Système d'exploitation installé: Windows 7 Professional. Poids: 2,27 kg",Lenovo
429-13254,Lecteurs de disques optiques,"DELL 429-13254. Couleur du produit: Noir. Vitesse de lecture des DVD-RW: 8x, Vitesse de lecture des DVD+RW: 8x",DELL
G85-23100BE-0,Claviers,"CHERRY eVolution STREAM XT. Technologie de connectivité: Avec fil, Interface de l'appareil: USB + PS/2, Disposition des touches du clavier: AZERTY, Nombre de touches du clavier: 111. Longueur de câble: 1,8 m. Couleur du produit: Gris",CHERRY
GU230.AITABR,Téléphones portables,"LG GU230. Format: Glissière. Taille de l'écran: 5,59 cm (2.2""), Résolution de l'écran: 176 x 200 pixels. Résolution de la caméra arrière (numerique): 1,3 MP. WAP. Bluetooth. Radio FM. Technologie batterie: Lithium-Ion (Li-Ion), Capacité de la batterie: 900 mAh, Délai d'attente (2G): 350 h. Poids: 89 g",LG
GU230.AITASV,Téléphones portables,"LG GU230. Format: Glissière. Taille de l'écran: 5,59 cm (2.2""), Résolution de l'écran: 176 x 200 pixels. Résolution de la caméra arrière (numerique): 1,3 MP. WAP. Bluetooth. Radio FM. Technologie batterie: Lithium-Ion (Li-Ion), Capacité de la batterie: 900 mAh, Délai d'attente (2G): 350 h. Poids: 89 g",LG
HMX-200BP,Caméscopes numériques,"Samsung HMX-200. Total des megapixels: 2 MP, Type de capteur: CMOS. Zoom optique: 20x, Zoom numérique: 200x, Longueur focale: 3.2 - 64 mm. Cartes mémoire compatibles: SD, SDHC. Vitesse d'obturation de l'appareil photo: 1/60 - 1/10000 s. Taille de l'écran: 6,86 cm (2.7""), Écran: LCD",Samsung
HMX-200SP,Caméscopes numériques,"Samsung HMX-200. Total des megapixels: 2 MP, Type de capteur: CMOS. Zoom optique: 20x, Zoom numérique: 200x, Longueur focale: 3.2 - 64 mm. Cartes mémoire compatibles: SD, SDHC. Vitesse d'obturation de l'appareil photo: 1/60 - 1/10000 s. Taille de l'écran: 6,86 cm (2.7""), Écran: LCD",Samsung
WSN5554APIUN,Frigos américains,"Whirlpool WSN5554 A+N. Placement de l'appareil: Pose libre, Couleur du produit: Noir, Écran integré: LCD. Classe climatique: T, Niveau sonore: 45 dB, Capacité brute totale: 515 L. Capacité brute du réfrigérateur: 335 L. Capacité net du congélateur: 180 L, Capacité de congélation: 2,5 kg/24h, Autonomie en cas de panne de courant: 5 h. Consommation annuelle d'énergie: 438 kWh, Consommation d'énergie: 1,2 kWh/24h",Whirlpool
WSN5554APIUX,Frigos américains,"Whirlpool WSN 5554 A+ X. Placement de l'appareil: Pose libre, Couleur du produit: Acier inoxydable, Écran integré: LCD. Classe climatique: T, Niveau sonore: 45 dB, Capacité brute totale: 515 L. Capacité nette du réfrigérateur: 335 L. Capacité de congélation: 180 kg/24h, Autonomie en cas de panne de courant: 5 h, Nombre d'étoiles (indique les possibilités de conservation): 4*. Consommation annuelle d'énergie: 438 kWh, Consommation d'énergie: 1,2 kWh/24h",Whirlpool
VFY:Q1500PF022NC,PC/postes de travail,"Fujitsu ESPRIMO Q1500. Fréquence du processeur: 2,1 GHz, Famille de processeur: Intel® Pentium® double cœur, Modèle de processeur: T4300. Mémoire interne: 4 Go, Type de mémoire interne: DDR2-SDRAM, Fréquence de la mémoire: 800 MHz. Capacité totale de stockage: 320 Go, Lecteur optique: DVD Super Multi. Modèle d'adaptateur graphique distinct: Intel® GMA 4500MHD. Wifi. Système d'exploitation installé: Windows 7 Home Premium. Type de châssis: Petit ordinateur de bureau. Type de produit: PC. Poids: 1,7 kg. Couleur du produit: Noir, Argent",Fujitsu
CR610-028XHU,Laptops,"MSI Megabook CR610-028XHU. Famille de processeur: AMD Athlon, Modèle de processeur: M300, Fréquence du processeur: 2 GHz. Taille de l'écran: 40,6 cm (16""), Résolution de l'écran: 1366 x 768 pixels. Mémoire interne: 3 Go, Type de mémoire interne: DDR2-SDRAM. Capacité totale de stockage: 320 Go, Lecteur optique: DVD Super Multi. Modèle d'adaptateur graphique distinct: AMD Mobility Radeon HD 4200. Système d'exploitation installé: DOS gratuit. Poids: 2,48 kg",MSI
RD223AVR,Laptops,HP Pavilion tx1000 CTO Notebook PC,HP
CR610-027XSK,Laptops,"MSI Megabook CR610-027XSK. Famille de processeur: AMD Athlon, Modèle de processeur: M300, Fréquence du processeur: 2 GHz. Taille de l'écran: 40,6 cm (16""), Résolution de l'écran: 1366 x 768 pixels. Mémoire interne: 3 Go, Type de mémoire interne: DDR2-SDRAM. Capacité totale de stockage: 320 Go, Lecteur optique: DVD Super Multi. Modèle d'adaptateur graphique distinct: AMD Mobility Radeon HD 4200. Système d'exploitation installé: DOS gratuit. Poids: 2,48 kg",MSI
CR610-026XCZ,Laptops,"MSI Megabook CR610-026XCZ. Famille de processeur: AMD Athlon, Modèle de processeur: M300, Fréquence du processeur: 2 GHz. Taille de l'écran: 40,6 cm (16""), Résolution de l'écran: 1366 x 768 pixels. Mémoire interne: 3 Go, Type de mémoire interne: DDR2-SDRAM. Capacité totale de stockage: 320 Go, Lecteur optique: DVD Super Multi. Modèle d'adaptateur graphique distinct: AMD Mobility Radeon HD 4200. Système d'exploitation installé: DOS gratuit. Poids: 2,48 kg",MSI
VFY:P1500PF022NC,PC/postes de travail,"Fujitsu ESPRIMO P1500. Fréquence du processeur: 2,6 GHz, Famille de processeur: Intel® Pentium®, Modèle de processeur: E5300. Mémoire interne: 3 Go, Type de mémoire interne: DDR2-SDRAM, Fréquence de la mémoire: 800 MHz. Capacité totale de stockage: 500 Go, Lecteur optique: DVD Super Multi. Système d'exploitation installé: Windows 7 Home Premium. Type de châssis: Micro Tower. Type de produit: PC. Poids: 11 kg. Couleur du produit: Noir",Fujitsu
CR610-0W2XEU,Laptops,"MSI Megabook CR610-0W2XEU. Famille de processeur: AMD Athlon, Modèle de processeur: M300, Fréquence du processeur: 2 GHz. Taille de l'écran: 40,6 cm (16""), Résolution de l'écran: 1366 x 768 pixels. Mémoire interne: 3 Go, Type de mémoire interne: DDR2-SDRAM. Capacité totale de stockage: 320 Go, Lecteur optique: DVD Super Multi. Modèle d'adaptateur graphique distinct: AMD Mobility Radeon HD 4200. Système d'exploitation installé: DOS gratuit. Poids: 2,48 kg",MSI
VFY:AH550MF012DK,Laptops,"Fujitsu LIFEBOOK AH550. Famille de processeur: Intel® Core™ i3, Modèle de processeur: i3-330M, Fréquence du processeur: 2,13 GHz. Taille de l'écran: 39,6 cm (15.6""), Résolution de l'écran: 1366 x 768 pixels. Mémoire interne: 4 Go, Type de mémoire interne: DDR3-SDRAM. Capacité totale de stockage: 500 Go, Lecteur optique: DVD Super Multi. Modèle d'adaptateur graphique inclus: Intel® HD Graphics. Génération de réseau mobile: 3G. Modèle d'adaptateur graphique distinct: Intel® HD Graphics. Système d'exploitation installé: Windows 7 Home Premium. Couleur du produit: Noir. Poids: 2,75 kg",Fujitsu
CR620-084NL,Laptops,"MSI Classic CR620-084NL. Famille de processeur: Intel® Core™ i3, Modèle de processeur: i3-330M, Fréquence du processeur: 2,13 GHz. Taille de l'écran: 39,6 cm (15.6""), Résolution de l'écran: 1366 x 768 pixels. Mémoire interne: 4 Go, Type de mémoire interne: DDR3-SDRAM. Capacité totale de stockage: 500 Go. Modèle d'adaptateur graphique inclus: Intel® HD Graphics, Modèle d'adaptateur graphique distinct: Intel® GMA. Système d'exploitation installé: Windows 7 Home Premium. Couleur du produit: Noir. Poids: 2,48 kg",MSI
CR620-085BE,Laptops,"MSI Classic CR620-085BE. Famille de processeur: Intel® Core™ i3, Modèle de processeur: i3-330M, Fréquence du processeur: 2,13 GHz. Taille de l'écran: 39,6 cm (15.6""), Résolution de l'écran: 1366 x 768 pixels. Mémoire interne: 4 Go, Type de mémoire interne: DDR3-SDRAM. Capacité totale de stockage: 500 Go. Modèle d'adaptateur graphique inclus: Intel® HD Graphics, Modèle d'adaptateur graphique distinct: Intel® GMA 3150. Système d'exploitation installé: Windows 7 Home Premium. Couleur du produit: Noir. Poids: 2,48 kg",MSI
CR620-017IT,Laptops,"MSI Classic CR620-017IT. Famille de processeur: Intel® Core™ i3, Modèle de processeur: i3-330M, Fréquence du processeur: 2,13 GHz. Taille de l'écran: 39,6 cm (15.6""), Résolution de l'écran: 1366 x 768 pixels. Mémoire interne: 4 Go, Type de mémoire interne: DDR3-SDRAM. Capacité totale de stockage: 500 Go. Modèle d'adaptateur graphique inclus: Intel® HD Graphics, Modèle d'adaptateur graphique distinct: Intel® GMA 3150. Système d'exploitation installé: Windows 7 Home Premium. Couleur du produit: Noir. Poids: 2,48 kg",MSI
