Ref_produit,Categorie,Description,Marque
WG702AV,Processeurs,"HP Intel Xeon E5620. Famille de processeur: Intel® Xeon® séquence 5000, Socket de processeur (réceptable de processeur): Socket B (LGA 1366), Lithographie du processeur: 32 nm. Segment de marché: Serveur",HP
WG721AV,Processeurs,"HP Intel Xeon E5630. Famille de processeur: Intel® Xeon® séquence 5000, Socket de processeur (réceptable de processeur): Socket B (LGA 1366), Lithographie du processeur: 32 nm. Segment de marché: Serveur",HP
WG695AV,Processeurs,"HP Intel Xeon X5650. Famille de processeur: Intel® Xeon® séquence 5000, Socket de processeur (réceptable de processeur): Socket B (LGA 1366), Lithographie du processeur: 32 nm. Segment de marché: Serveur",HP
WD953AV,Modules de mémoire,"HP 16GB DDR3-1333 ECC. Mémoire interne: 16 Go, Disposition de la mémoire (modules x dimensions): 2 x 8 Go, Type de mémoire interne: DDR3, Fréquence de la mémoire: 1333 MHz, ECC",HP
WG704AV,Processeurs,"HP Intel Xeon E5640. Famille de processeur: Intel® Xeon® séquence 5000, Socket de processeur (réceptable de processeur): Socket B (LGA 1366), Lithographie du processeur: 32 nm. Segment de marché: Serveur",HP
WD954AV,Modules de mémoire,"HP 24GB DDR3-1333 ECC. Mémoire interne: 24 Go, Disposition de la mémoire (modules x dimensions): 3 x 8 Go, Type de mémoire interne: DDR3, Fréquence de la mémoire: 1333 MHz, ECC",HP
WG725AV,Processeurs,"HP Intel Xeon X5667. Famille de processeur: Intel® Xeon® séquence 5000, Socket de processeur (réceptable de processeur): Socket B (LGA 1366), Lithographie du processeur: 32 nm. SS60ZZBPA,Appareils photos numériques,"Samsung ES ES60. Type d'appareil photo: Appareil-photo compact, Mégapixel: 12,2 MP, Taille du capteur d'image: 1/2.33"", Type de capteur: CCD (dispositif à transfert de charge), Résolution d'image maximale: 4000 x 3000 pixels. Zoom optique: 3x, Zoom numérique: 3x, Longueur focale: 6.3 - 18.9 mm. Résolution vidéo maximale: 640 x 480 pixels. Taille de l'écran: 6,35 cm (2.5""). Mémoire interne: 11 Mo. Poids: 116 g. Couleur du produit: Gris",Samsung
ES60ZZBPR,Appareils photos numériques,"Samsung ES ES60. Type d'appareil photo: Appareil-photo compact, Mégapixel: 12,2 MP, Taille du capteur d'image: 1/2.33"", Type de capteur: CCD (dispositif à transfert de charge), Résolution d'image maximale: 4000 x 3000 pixels. Zoom optique: 3x, Zoom numérique: 3x, Longueur focale: 6.3 - 18.9 mm. Résolution vidéo maximale: 640 x 480 pixels. Taille de l'écran: 6,35 cm (2.5""). Mémoire interne: 11 Mo. Poids: 116 g. Couleur du produit: Rouge",Samsung
20A0932,Imprimantes jets d'encres,"Lexmark Z1320. Couleur, Nombre de cartouches d'impression: 4, Cycle de service (Maximum): 3000 pages par mois. Résolution maximale: 4800 x 1200 DPI. Taille de papier de série A ISO maximum: A4. Vitesse d'impression (noir, qualité normale, A4/US Letter): 12 ppm",Lexmark
PL51ZZBPRE,Appareils photos numériques,"Samsung PL PL51. Type d'appareil photo: Appareil-photo compact, Mégapixel: 10,3 MP, Taille du capteur d'image: 1/2.33"", Type de capteur: CCD (dispositif à transfert de charge), Résolution d'image maximale: 3648 x 2736 pixels. Zoom optique: 3x, Zoom numérique: 5x, Longueur focale: 6.2 - 18.6 mm. Résolution vidéo maximale: 640 x 480 pixels. Taille de l'écran: 6,86 cm (2.7""). Mémoire interne: 9 Mo. PictBridge. Poids: 116,1 g. Couleur du produit: Rouge",Samsung
PL51ZZBPBE,Appareils photos numériques,"Samsung PL PL51. Type d'appareil photo: Appareil-photo compact, Mégapixel: 10,3 MP, Taille du capteur d'image: 1/2.33"", Type de capteur: CCD (dispositif à transfert de charge), Résolution d'image maximale: 3648 x 2736 pixels. Zoom optique: 3x, Zoom numérique: 5x, Longueur focale: 6.2 - 18.6 mm. Résolution vidéo maximale: 640 x 480 pixels. Taille de l'écran: 6,86 cm (2.7""). Mémoire interne: 9 Mo. PictBridge. Poids: 116,1 g. Couleur du produit: Noir",Samsung
NRF3JMD,Laptops,"Lenovo ThinkPad X301. Famille de processeur: Intel® Core™2 Duo, Modèle de processeur: SU9400, Fréquence du processeur: 1,4 GHz. Taille de l'écran: 33,8 cm (13.3""), Résolution de l'écran: 1440 x 900 pixels. Mémoire interne: 2 Go, Type de mémoire interne: DDR3-SDRAM. Capacité totale de stockage: 128 Go, Lecteur optique: DVD±RW. Modèle d'adaptateur graphique distinct: Intel® GMA 4500MHD. Système d'exploitation installé: Windows 7 Professional. Poids: 1,42 kg",Lenovo
NL39SMD,Laptops,"Lenovo ThinkPad T500. Famille de processeur: Intel® Core™2 Duo, Modèle de processeur: P8600, Fréquence du processeur: 2,4 GHz. Taille de l'écran: 39,1 cm (15.4""), Résolution de l'écran: 1280 x 800 pixels. Mémoire interne: 2 Go, Type de mémoire interne: DDR3-SDRAM. Capacité totale de stockage: 250 Go. Modèle d'adaptateur graphique distinct: Intel® GMA 4500MHD. Système d'exploitation installé: Windows 7 Professional. Poids: 2,63 kg",Lenovo
NUD2EMD,Laptops,"Lenovo ThinkPad Edge 13. Famille de processeur: Intel® Core™2 Duo, Modèle de processeur: SU7300, Fréquence du processeur: 1,3 GHz. Taille de l'écran: 33,8 cm (13.3""), Résolution de l'écran: 1366 x 768 pixels. Mémoire interne: 4 Go, Type de mémoire interne: DDR3-SDRAM. Capacité totale de stockage: 320 Go. Génération de réseau mobile: 3G. Modèle d'adaptateur graphique distinct: Intel® GMA 4500MHD. Système d'exploitation installé: Windows 7 Professional. Poids: 1,64 kg",Lenovo
33S0101,Imprimantes laser,"Lexmark E250D. Technologie d'impression: Laser. Nombre de cartouches d'impression: 1. Résolution maximale: 600 x 600 DPI. Taille de papier de série A ISO maximum: A4. Vitesse d'impression (noir, qualité normale, A4/US Letter): 28 ppm, Impression recto-verso",Lexmark
ST45ZZBPRE,Appareils photos numériques,"Samsung ST ST45. Type d'appareil photo: Appareil-photo compact, Mégapixel: 12,2 MP, Taille du capteur d'image: 1/2.3"", Type de capteur: CCD (dispositif à transfert de charge), Résolution d'image maximale: 4000 x 3000 pixels. Zoom optique: 3x, Zoom numérique: 5x, Longueur focale: 6.3 - 18.9 mm. Résolution vidéo maximale: 640 x 480 pixels. Taille de l'écran: 6,86 cm (2.7""). Mémoire interne: 31 Mo. PictBridge. Poids: 105 g. Couleur du produit: Rouge",Samsung
PL60ZBBP,Appareils photos numériques,"Samsung PL PL60 Black. Type d'appareil photo: Appareil-photo compact, Mégapixel: 10,2 MP, Taille du capteur d'image: 1/2.33"", Type de capteur: CCD (dispositif à transfert de charge), Résolution d'image maximale: 3648 x 2736 pixels. Zoom optique: 5x, Zoom numérique: 5x, Longueur focale: 6.3 - 31.5 mm. Type HD: HD, Résolution vidéo maximale: 1280 x 720 pixels. Taille de l'écran: 6,86 cm (2.7""). Mémoire interne: 30 Mo. Poids: 219 g. Couleur du produit: Noir",Samsung
PL60ZSBP,Appareils photos numériques,"Samsung PL60 Silver. Type d'appareil photo: Appareil-photo compact, Mégapixel: 10,2 MP, Taille du capteur d'image: 1/2.33"", Type de capteur: CCD (dispositif à transfert de charge), Résolution d'image maximale: 3648 x 2736 pixels. Zoom optique: 5x, Zoom numérique: 5x, Longueur focale: 6.3 - 31.5 mm. Type HD: HD, Résolution vidéo maximale: 1280 x 720 pixels. Taille de l'écran: 6,86 cm (2.7""). Mémoire interne: 30 Mo. Poids: 219 g. Couleur du produit: Gris",Samsung
NRRC4MD,Laptops,"Lenovo ThinkPad X200 Tablet. Type de produit: Hybride (2-en-1), Format: Convertible (Pivotant). Famille de processeur: Intel® Core™2 Duo, Modèle de processeur: SL9400, Fréquence du processeur: 1,86 GHz. Taille de l'écran: 30,7 cm (12.1""), Résolution de l'écran: 1280 x 800 pixels, Écran tactile. Mémoire interne: 2 Go. Système d'exploitation installé: Windows 7 Professional. Poids: 1,61 kg",Lenovo
